query_id,rank,video_id,frame_id
kis-18b1024ec8,1,L21_V003,29928
kis-18b1024ec8,2,L21_V001,10400
kis-18b1024ec8,3,L21_V002,31680
kis-18b1024ec8,4,L21_V003,22704
kis-18b1024ec8,5,L21_V001,10690
kis-18b1024ec8,6,L21_V002,15420
kis-18b1024ec8,7,L21_V003,22072
kis-18b1024ec8,8,L21_V001,9650
kis-18b1024ec8,9,L21_V002,6940
kis-18b1024ec8,10,L21_V003,2400
kis-18b1024ec8,11,L21_V001,18270
kis-18b1024ec8,12,L21_V002,5200
kis-18b1024ec8,13,L21_V003,18192
kis-18b1024ec8,14,L21_V001,19420
kis-18b1024ec8,15,L21_V002,23940
